City,Confirmed,Recovered,Deaths
Ampara,3,0,0
Anuradhapura,12,0,0
Badulla,3,0,0
Batticaloa,1,0,0
Colombo,160,2,0
Galle,1,0,0
Gampaha,370,1,0
Hambantota,3,0,0
Jaffna,16,0,0
Kalutara,65,0,0
Kandy,15,0,0
Kegalle,8,0,0
Kilinochchi,0,0,0
Kurunegala,27,0,1
Mannar,0,0,0
Matale,1,0,0
Matara,2,0,0
Moneragala,4,0,0
Mullaitivu,0,0,0
Nuwara Eliya,1,0,0
Polonnaruwa,1,0,0
Puttalam,41,0,0
Ratnapura,8,0,0
Trincomalee,2,0,0
Vavuniya,2,0,0
Quarantine Centers,78,0,0
Kandakadu Rehabilitation Center,521,0,0
Senapura Rehabilitation Center,76,0,0
Naval Base - Welisara ,906,0,0
Overseas Arrivals (Quarantine Centers),1377,0,0
Unspecified,4,131,0
