Date,Confirmed,Recovered,Deceased,Critical,Tested
2020-01-27,1,0,0,0,1
2020-03-09,1,0,0,0,1
2020-03-10,2,0,0,0,2
2020-03-11,2,0,0,0,2
2020-03-12,3,1,0,0,3
2020-03-13,6,1,0,0,6
2020-03-14,11,1,0,0,11
2020-03-15,18,1,0,0,18
2020-03-16,28,1,0,0,28
2020-03-17,43,1,0,0,43
2020-03-18,52,3,0,0,962
2020-03-19,60,3,0,0,1084
2020-03-20,72,3,0,0,1180
2020-03-21,78,3,0,2,1283
2020-03-22,82,4,0,2,1431
2020-03-23,97,4,0,2,1617
2020-03-24,102,4,0,2,1707
2020-03-25,102,4,0,2,1814
2020-03-26,106,7,0,3,1893
2020-03-27,106,7,0,3,1969
2020-03-28,113,9,1,7,2082
2020-03-29,117,11,1,7,2082
2020-03-30,122,14,2,6,2145
2020-03-31,143,17,2,6,2268
2020-04-01,146,21,2,6,2428
2020-04-02,151,21,4,6,2593
2020-04-03,159,24,4,6,2593
2020-04-04,166,27,5,5,3116
2020-04-05,176,33,5,5,3272
2020-04-06,178,38,5,5,3272
2020-04-07,185,42,6,5,3655
2020-04-08,189,44,7,5,3655
2020-04-09,190,49,7,1,3974
2020-04-10,190,54,7,1,4047
2020-04-11,199,54,7,1,4525
2020-04-12,210,56,7,1,4525
2020-04-13,218,56,7,1,4768
2020-04-14,233,61,7,1,4768
2020-04-15,238,63,7,1,4768
2020-04-16,238,68,7,1,4768
2020-04-17,244,77,7,1,5268
2020-04-18,254,86,7,2,5768
2020-04-19,271,96,7,2,6463
2020-04-20,304,98,7,2,6793
2020-04-21,310,102,7,2,7393
2020-04-22,330,105,7,2,12000
2020-04-23,368,107,7,2,13142
2020-04-24,420,109,7,2,13850
2020-04-25,460,118,7,0,14700
2020-04-26,523,120,7,0,16315
2020-04-27,588,126,7,0,19268
2020-04-28,619,134,7,0,20407
2020-04-29,649,136,7,1,21157
2020-04-30,665,154,7,1,22554
2020-05-01,690,162,7,1,23525
2020-05-02,705,172,7,1,25206
2020-05-03,718,184,7,1,26674
2020-05-04,755,194,8,0,27660
2020-05-05,771,213,9,0,27660
2020-05-06,797,215,9,0,30303
2020-05-07,824,232,9,0,31856
2020-05-08,835,255,9,0,33899
2020-05-09,847,260,9,0,35323
2020-05-10,863,321,9,0,35323
2020-05-11,869,343,9,0,36605
2020-05-12,889,366,9,0,37662
2020-05-13,915,382,9,0,38740
2020-05-14,925,445,9,0,39629
2020-05-15,935,477,9,0,42199
